epoch,arm,lams,var_E,depth,reward,alpha,depth_metric,E_metric
47,arm1,"1,3",0.026577655173537842,3.0,-0.06657765517353784,0.01,max_lambda,trueprob
47,arm2,"1,3,5",0.026756827066035164,5.0,-0.18675682706603516,0.01,max_lambda,trueprob
47,arm3,"1,3,5,7",0.025997548033272016,7.0,-0.385997548033272,0.01,max_lambda,trueprob
48,arm1,"1,3",0.0261031966665342,3.0,-0.0661031966665342,0.01,max_lambda,trueprob
48,arm2,"1,3,5",0.026207418283925487,5.0,-0.18620741828392548,0.01,max_lambda,trueprob
48,arm3,"1,3,5,7",0.025244276850376012,7.0,-0.385244276850376,0.01,max_lambda,trueprob
49,arm1,"1,3",0.02928509964696915,3.0,-0.06928509964696915,0.01,max_lambda,trueprob
49,arm2,"1,3,5",0.029428671629741304,5.0,-0.1894286716297413,0.01,max_lambda,trueprob
49,arm3,"1,3,5,7",0.028418450565838946,7.0,-0.38841845056583896,0.01,max_lambda,trueprob
50,arm1,"1,3",0.02516018933844228,3.0,-0.06516018933844228,0.01,max_lambda,trueprob
50,arm2,"1,3,5",0.025271557672289533,5.0,-0.18527155767228953,0.01,max_lambda,trueprob
50,arm3,"1,3,5,7",0.024526645202303205,7.0,-0.3845266452023032,0.01,max_lambda,trueprob
